3D capture:,3D:,Additional microphone(s):,Bluetooth:,Broadcast Mobile TV:,CDMA:,Charging:,Colors:,Data:,Dimensions with the dock:,Dimensions:,Display size:,Dock Features:,Dual SIM:,EU SAR:,External antenna:,Features:,Fifth camera:,Flash:,Fourth camera:,Front:,GSM:,HD Voice:,HDMI:,Headphones connector:,Hearing aid compatibility:,In The Box:,LTE (FDD):,LTE (TDD):,MSRP price:,Main camera:,Materials:,Maximum User Storage:,Mobile Payment:,Model without AMPS is also available (FCC ID:,None,Notifications:,OS:,Other features:,Other:,Peak brightness:,Phone functionality:,Projector:,ROM:,Radio:,Rear:,Resistance:,Resolution:,SIM type:,Screen mirroring:,Second camera:,Sensors:,Speakers:,Storage expansion:,Tablet dock:,Technology:,Third camera:,UMTS:,USB:,Unnamed: 0,Video playback:,Video recording:,VoLTE:,Warranty period:,Weight with the dock:,Weight:,Wi-Fi:,rating
,,,4.0,,,,"Black, Gray","LTE Cat 4 (150/50 Mbit/s), HSPA, HSUPA",,6.15 x 3.05 x 0.35 inches (156.3 x 77.5 x 8.9 mm),5.5 inches,,Yes,,,"Ambient light sensor, Proximity sensor",,LED,,8 megapixels,,,,3.5mm,,,,,,8 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (5.1 Lollipop),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,720 x 1280 pixels,Micro SIM,,,"Accelerometer, Compass","Earpiece, Loudspeaker",,,IPS LCD,,,USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 b, g, n",9.0
,,,4.0,,,,"Black, White","LTE Cat 4 (150/50 Mbit/s), HSPA, HSUPA",,5.67 x 2.77 x 0.35 inches (144 x 70.3 x 8.9 mm),5.0 inches,,Yes,,,"Ambient light sensor, Proximity sensor",,LED,,8 megapixels,,,,3.5mm,,,,,,8 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (5.1 Lollipop),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, Stereo",Single camera,,720 x 1280 pixels,Micro SIM,,,"Accelerometer, Hall (for flip covers)","Earpiece, Loudspeaker",,,IPS LCD,,,USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 b, g, n",2.0
,,,Yes,,,,,,,5.73 x 2.89 x 0.35 inches (145.5 x 73.5 x 8.8 mm),5.0 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,,,,,3.5mm,,,,,$ 230,5 megapixels,,,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2.2),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,480 x 854 pixels,Micro SIM,,,"Accelerometer, Compass","Earpiece, Loudspeaker, Multiple speakers",,,,,,USB 2.0,0,,Yes,,,,None,Yes,1.0
,,,"3.0, EDR",,,,"Black, White","HSPA, UMTS",,5.16 x 2.68 x 0.39 inches (131 x 68 x 9.9 mm),4.5 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,8 megapixels,,,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2.1),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,FM,Single camera,,540 x 960 pixels,,,,"Accelerometer, Compass","Earpiece, Multiple speakers",up to 32 GB,,IPS LCD,,"900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD) (30 fps),,,,None,"802.11 a, b, g, n",9.0
,,for Noise cancellation,3.0,,,,"Black, White","HSPA, UMTS",,5.08 x 2.59 x 0.39 inches (129 x 65.9 x 9.9 mm),4.3 inches,,Yes,,,"Ambient light sensor, Proximity sensor",,LED,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,"GPS, A-GPS","Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.0.4),"Voice dialing, Voice commands, Voice recording","Computer sync, OTA sync",,,,4096 MB,"FM, Stereo, RDS",Single camera,,540 x 960 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,TFT,,"900, 2100 MHz",USB 2.0,0,,Yes,,,,None,"802.11 b, g, n",10.0
,,,3.0,,,,"Black, Blue","HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,7.60 x 4.98 x 0.45 inches (193 x 126.5 x 11.4 mm),7.0 inches,,,,,Ambient light sensor,,,,2 megapixels,"850, 900, 1800, 1900 MHz",,Micro HDMI (Type D),3.5mm,,"Charger and plug, Quick Start Guide, Micro USB to USB cable (1.5m)",,,,,,,,,"GPS, Glonass","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Speakerphone",Android (4.0),"Voice commands, Voice recording","Computer sync, OTA sync",,,,,,,,1024 x 600 pixels,,,,"Accelerometer, Gyroscope, Compass",Multiple speakers,up to 32 GB,,TFT,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,None,,,,None,"802.11 b, g, n",8.0
,,,"2.1, EDR",,,,Gray,"HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,10.24 x 6.89 x 0.49 inches (260 x 175 x 12.4 mm),10.1 inches,,,,,Ambient light sensor,,,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,,,,,,"GPS, Glonass",,Android (4.0),"Voice commands, Voice recording","Computer sync, OTA sync",,,,,,,,1280 x 800 pixels,,,,,Multiple speakers,up to 32 GB,,TFT,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,,,,,None,"802.11 b, g, n",9.0
,,,Yes,,,,,,,10.18 x 6.60 x 0.35 inches (258.57 x 167.64 x 8.89 mm),10.1 inches,,,,,Full keyboard,,LED,,2 megapixels,,,Micro HDMI (Type D),3.5mm,,,,,,8 megapixels,,,,,3540 mAh,"Flight mode, Silent mode, Speakerphone",Windows (8),"Voice commands, Voice recording","NFC, Computer sync, OTA sync",,,,,,Single camera,,1366 x 768 pixels,,,,"Accelerometer, Gyroscope, Compass",Multiple speakers,up to 64 GB,,TFT,,,Yes,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n",9.0
,,,Yes,,,,"Black, Pink, White","HSPA, UMTS",,4.61 x 2.30 x 0.45 inches (117 x 58.5 x 11.5 mm),3.7 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,GPS,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.0),"Voice dialing, Voice commands, Voice recording","NFC, Computer sync, OTA sync",,,,,,Single camera,,480 x 800 pixels,,,,"Accelerometer, Compass",,up to 32 GB,,LCD,,"900, 2100 MHz",USB 2.0,0,,Yes,,,,None,Yes,8.0
,,,4.0,,,,,"HSPA, UMTS",,5.00 x 2.59 x 0.39 inches (127 x 65.8 x 9.9 mm),4.3 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,Yes,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,,,,,,8 megapixels,,,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.1.2, 4.0.4)","Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,,720 x 1280 pixels,Micro SIM,MHL,,Accelerometer,"Earpiece, Loudspeaker",up to 32 GB,,IPS LCD,,"900, 1900, 2100 MHz",Yes,0,,1920x1080 (Full HD) (30 fps),,,,None,"802.11 b, g, n",9.0
